"","donor","cell_type1","total_features","cell_type","species","dataset","species_donor"
"mouse1_lib3.final_cell_0025",1,"ductal",2294,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0026",1,"delta",1932,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0027",1,"quiescent_stellate",2026,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0028",1,"ductal",2152,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0029",1,"ductal",2220,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0030",1,"endothelial",2179,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0031",1,"ductal",2165,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0032",1,"beta",1634,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0033",1,"ductal",2452,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0034",1,"ductal",2325,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0035",1,"ductal",2380,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0036",1,"ductal",2101,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0037",1,"ductal",2273,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0038",1,"delta",1708,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0039",1,"beta",1082,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0040",1,"beta",1738,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0041",1,"ductal",2166,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0042",1,"endothelial",2399,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0043",1,"endothelial",2142,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0044",1,"delta",1820,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0045",1,"delta",1498,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0046",1,"ductal",2174,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0047",1,"beta",953,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0048",1,"beta",1052,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0049",1,"beta",1198,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0050",1,"delta",2310,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0051",1,"beta",1264,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0052",1,"beta",1278,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0053",1,"beta",2113,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0054",1,"endothelial",2155,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0055",1,"endothelial",1839,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0056",1,"ductal",2187,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0057",1,"quiescent_stellate",1621,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0058",1,"beta",1310,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0059",1,"beta",1339,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0060",1,"beta",1075,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0061",1,"beta",1134,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0062",1,"beta",1015,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0063",1,"ductal",1904,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0064",1,"ductal",1976,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0065",1,"beta",1772,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0066",1,"beta",1232,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0067",1,"ductal",2012,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0068",1,"beta",1315,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0069",1,"beta",1383,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0070",1,"ductal",1955,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0071",1,"ductal",1604,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0072",1,"ductal",1987,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0073",1,"ductal",1593,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0074",1,"beta",1274,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0075",1,"beta",1604,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0076",1,"ductal",1970,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0077",1,"beta",967,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0078",1,"activated_stellate",1924,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0079",1,"immune_other",1604,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0080",1,"beta",1097,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0081",1,"beta",1351,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0082",1,"ductal",1717,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0083",1,"beta",1331,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0084",1,"beta",1267,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0085",1,"quiescent_stellate",1798,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0086",1,"ductal",1860,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0087",1,"ductal",1908,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0088",1,"delta",1615,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0089",1,"ductal",1576,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0090",1,"ductal",1916,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0091",1,"ductal",1679,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0092",1,"beta",1227,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0093",1,"beta",1210,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0094",1,"beta",1029,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0095",1,"quiescent_stellate",1675,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0096",1,"endothelial",1384,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0097",1,"macrophage",1285,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0098",1,"beta",1378,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0099",1,"ductal",1339,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0100",1,"beta",1076,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0101",1,"endothelial",1930,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0102",1,"beta",1063,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0103",1,"gamma",888,"gamma","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0104",1,"endothelial",1383,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0105",1,"beta",1117,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0106",1,"beta",826,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0107",1,"beta",1106,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0108",1,"beta",748,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0109",1,"T_cell",1195,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0110",1,"beta",924,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0111",1,"beta",1416,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0112",1,"beta",1000,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0113",1,"beta",1121,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0114",1,"delta",1006,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0115",1,"beta",1444,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0116",1,"endothelial",1458,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0117",1,"beta",1055,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0118",1,"beta",1401,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0119",1,"ductal",1750,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0120",1,"delta",1006,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0121",1,"delta",854,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0122",1,"beta",890,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0123",1,"delta",1473,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0124",1,"beta",1402,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0125",1,"endothelial",1504,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0126",1,"delta",1113,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0127",1,"ductal",1563,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0128",1,"endothelial",1327,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0129",1,"beta",1136,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0130",1,"beta",1027,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0131",1,"beta",984,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0132",1,"beta",1010,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0133",1,"delta",762,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0134",1,"ductal",1789,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0135",1,"beta",1086,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0136",1,"delta",769,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0137",1,"beta",1190,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0138",1,"beta",786,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0139",1,"beta",1258,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0140",1,"beta",1080,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0141",1,"beta",866,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0142",1,"beta",924,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0143",1,"beta",792,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0144",1,"delta",743,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0145",1,"ductal",1134,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0146",1,"beta",953,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0147",1,"beta",1074,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0148",1,"quiescent_stellate",1574,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0149",1,"ductal",1211,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0150",1,"delta",810,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0151",1,"beta",982,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0152",1,"beta",1135,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0153",1,"beta",885,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0154",1,"ductal",1375,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0155",1,"beta",922,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0156",1,"ductal",1508,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0157",1,"ductal",1490,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0158",1,"ductal",1289,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0159",1,"beta",919,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0160",1,"beta",970,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0161",1,"ductal",1146,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0162",1,"delta",1182,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0163",1,"endothelial",1224,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0164",1,"ductal",1482,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0165",1,"beta",1079,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0166",1,"ductal",1485,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0167",1,"ductal",1373,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0168",1,"delta",828,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0169",1,"quiescent_stellate",1450,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0170",1,"endothelial",1321,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0171",1,"beta",741,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0172",1,"beta",969,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0173",1,"delta",1169,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0174",1,"ductal",1662,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0175",1,"ductal",1411,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0176",1,"beta",882,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0177",1,"delta",809,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0178",1,"beta",1108,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0179",1,"ductal",1237,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0180",1,"ductal",1490,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0181",1,"beta",984,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0182",1,"beta",1215,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0183",1,"beta",858,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0184",1,"endothelial",1325,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0185",1,"ductal",1304,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0186",1,"beta",864,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0187",1,"macrophage",1268,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0188",1,"beta",795,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0189",1,"beta",854,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0190",1,"ductal",1480,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0191",1,"beta",1106,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0192",1,"beta",1158,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0193",1,"beta",1124,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0194",1,"beta",956,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0195",1,"beta",1046,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0196",1,"beta",913,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0197",1,"ductal",1327,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0198",1,"beta",1022,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0199",1,"beta",783,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0200",1,"immune_other",949,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0201",1,"beta",919,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0202",1,"macrophage",986,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0203",1,"quiescent_stellate",1425,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0204",1,"ductal",1067,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0205",1,"beta",752,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0206",1,"beta",825,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0207",1,"ductal",978,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0208",1,"delta",862,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0209",1,"ductal",834,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0210",1,"beta",903,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0211",1,"beta",792,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0212",1,"beta",763,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0213",1,"beta",851,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0214",1,"ductal",933,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0215",1,"ductal",1141,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0216",1,"activated_stellate",917,"stellate","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0217",1,"ductal",1152,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0218",1,"ductal",1089,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0219",1,"beta",825,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0220",1,"B_cell",934,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0221",1,"ductal",1274,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0222",1,"macrophage",1012,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0223",1,"delta",930,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0224",1,"beta",825,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0225",1,"macrophage",765,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0226",1,"beta",740,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0227",1,"beta",891,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0228",1,"ductal",1004,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0229",1,"ductal",967,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0230",1,"T_cell",873,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0231",1,"ductal",911,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0232",1,"ductal",988,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0233",1,"beta",887,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0234",1,"ductal",781,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0235",1,"ductal",815,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0236",1,"ductal",932,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0237",1,"ductal",809,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0238",1,"beta",791,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0239",1,"ductal",776,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0240",1,"ductal",868,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0241",1,"ductal",894,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0242",1,"beta",742,"beta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0243",1,"ductal",823,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0244",1,"ductal",1026,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0245",1,"delta",856,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0246",1,"delta",779,"delta","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0247",1,"ductal",1212,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0248",1,"endothelial",781,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0249",1,"ductal",780,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0250",1,"T_cell",740,"immune","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0251",1,"ductal",854,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0252",1,"ductal",789,"ductal","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0253",1,"endothelial",753,"endothelial","mouse","inDrop","mouse1"
"mouse1_lib3.final_cell_0254",1,"ductal",794,"ductal","mouse","inDrop","mouse1"
"mouse2_lib1.final_cell_0001",2,"beta",3590,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0002",2,"beta",3095,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0003",2,"beta",3252,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0004",2,"ductal",3918,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0005",2,"beta",2669,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0006",2,"beta",3194,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0007",2,"beta",3499,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0008",2,"beta",2611,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0009",2,"delta",2844,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0010",2,"beta",3200,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0011",2,"beta",2694,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0012",2,"beta",2493,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0013",2,"alpha",2263,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0014",2,"delta",3101,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0015",2,"beta",3163,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0016",2,"beta",3189,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0017",2,"beta",2910,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0018",2,"beta",3680,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0019",2,"beta",2844,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0020",2,"beta",2720,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0021",2,"beta",2805,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0022",2,"beta",2091,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0023",2,"beta",2720,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0024",2,"alpha",2148,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0025",2,"beta",2469,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0026",2,"beta",2913,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0027",2,"beta",2872,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0028",2,"beta",2478,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0029",2,"beta",2943,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0030",2,"ductal",3632,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0031",2,"beta",2987,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0032",2,"beta",2500,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0033",2,"delta",2869,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0034",2,"delta",2515,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0035",2,"alpha",1983,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0036",2,"beta",2757,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0037",2,"alpha",2174,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0038",2,"beta",2674,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0039",2,"gamma",2266,"gamma","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0040",2,"delta",2925,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0041",2,"beta",2613,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0042",2,"delta",2353,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0043",2,"beta",2533,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0044",2,"delta",2520,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0045",2,"delta",2808,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0046",2,"beta",2193,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0047",2,"beta",2697,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0048",2,"alpha",2118,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0049",2,"beta",3091,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0050",2,"beta",2329,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0051",2,"beta",2316,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0052",2,"beta",2445,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0053",2,"alpha",2096,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0054",2,"beta",2547,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0055",2,"beta",2333,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0056",2,"alpha",2026,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0057",2,"beta",2097,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0058",2,"beta",2618,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0059",2,"delta",1931,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0060",2,"delta",2043,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0061",2,"beta",1549,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0062",2,"alpha",2184,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0063",2,"ductal",2585,"ductal","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0064",2,"delta",2513,"delta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0065",2,"beta",2509,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0066",2,"beta",2445,"beta","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0067",2,"alpha",1847,"alpha","mouse","inDrop","mouse2"
"mouse2_lib1.final_cell_0068",2,"alpha",1844,"alpha","mouse","inDrop","mouse2"
